Title,URL,Location,Confirmed_US
C&I Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/C-I-Engineer_JR-2025-15445?q=Data%20Engineer,"Jazan, Saudi Arabia",False
C&I Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/C-I-Engineer_JR-2025-16732?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Aftermarket Turbomachinery Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Houston-Texas/Rotoflow-Aftermarket-Machinery-Engineer_JR-2025-14401?q=Data%20Engineer,2 Locations,False
Commissioning & Startup Specialist,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Darrow-Louisiana/Commissioning---Startup-Specialist_JR-2024-12804-1?q=Data%20Engineer,3 Locations,False
Senior Environmental Engineer/Specialist,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Edmonton-Alberta/Senior-Environmental-Specialist_JR-2025-15571?q=Data%20Engineer,"Edmonton, Alberta",False
LB Sales Engineer- Shanghai,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Shanghai-China/LB-Sales-Engineer--Shanghai_JR-2025-16454?q=Data%20Engineer,"Shanghai, China",False
I&C Commissioning Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/I-C-Commissioning-Engineer_JR-2025-15439?q=Data%20Engineer,"Jazan, Saudi Arabia",False
I&C Commissioning Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/I-C-Commissioning-Engineer_JR-2025-15448?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15412?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15413-1?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15414?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15415?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15416?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15418?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15419?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15420?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15421?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15422?q=Data%20Engineer,"Jazan, Saudi Arabia",False
